J-K,H-K,J-H,Spectral Type,EW Na,EW Ca,H2OK2 Index
0.85,0.26,0.58,M3V,5.69,4.71,0.91
0.83,0.26,0.57,M4V,6.51,4.36,0.86
0.9,0.36,0.54,M5V,4.97,2.75,0.85
0.99,0.37,0.62,M7V,6.56,1.74,0.78
0.96,0.33,0.63,M6V,6.82,2.74,0.8
0.87,0.31,0.57,M6V,5.09,2.5,0.84
0.87,0.25,0.62,M4V,6.09,3.66,0.9
0.88,0.29,0.59,M4V,6.55,4.77,0.88
0.85,0.3,0.56,M5V,5.31,2.78,0.83
0.96,0.36,0.61,M6V,7.6,2.68,0.82
0.81,0.24,0.56,M4V,4.89,2.88,0.87
0.86,0.25,0.6,M5V,5.71,3.61,0.86
0.83,0.24,0.59,M4V,4.59,3.04,0.89
0.91,0.3,0.62,M5V,6.51,2.64,0.86
0.89,0.27,0.62,M5V,7.42,3.44,0.89
0.85,0.31,0.55,M5V,5.03,2.28,0.84
0.88,0.28,0.59,M4V,5.29,3.47,0.89
0.85,0.27,0.57,M4V,4.77,2.57,0.88
0.91,0.31,0.59,M5V,7.23,2.8,0.82
1.02,0.39,0.63,M6V,7.26,2.72,0.79
0.85,0.24,0.61,M4V,4.26,3.13,0.9
0.94,0.32,0.62,M5V,6.56,3.45,0.85
0.86,0.3,0.56,M5V,6.14,3.8,0.87
0.89,0.27,0.61,M4V,7.07,4.3,0.91
0.96,0.38,0.58,M7V,4.86,1.81,0.77
0.83,0.24,0.59,M3V,4.28,3.7,0.93
0.86,0.26,0.59,M4V,6.09,3.04,0.87
0.9,0.29,0.61,M5V,6.79,3.74,0.87
0.91,0.34,0.57,M5V,6.66,3.34,0.84
0.9,0.23,0.67,M4V,6.87,3.95,0.89
0.86,0.32,0.54,M5V,5.06,2.04,0.84
0.88,0.29,0.59,M5V,5.01,3.23,0.83
0.85,0.29,0.56,M5V,5.91,3.23,0.84
0.94,0.36,0.58,M6V,6.34,2.14,0.82
0.91,0.34,0.56,M6V,5.25,1.67,0.81
0.9,0.28,0.61,M5V,6.47,3.56,0.87
0.91,0.34,0.57,M5V,5.94,2.84,0.84
0.84,0.31,0.54,M5V,5,2.91,0.87
0.84,0.27,0.56,M5V,4.69,1.98,0.85
0.81,0.26,0.55,M4V,3.92,2.79,0.89
0.84,0.27,0.57,M4V,4.83,2.71,0.87
0.9,0.3,0.6,M6V,5.05,2.46,0.8
0.87,0.27,0.6,M3V,6.97,4.14,0.9
0.97,0.32,0.65,M5V,7.35,3.01,0.88
0.88,0.3,0.57,M4V,6.7,3.05,0.87
0.9,0.33,0.56,M5V,4.97,2.35,0.84
0.86,0.24,0.63,M4V,6.72,4.6,0.89
0.84,0.21,0.63,M5V,5.36,2.97,0.87
0.94,0.35,0.59,M6V,6.67,2.58,0.83
1.19,0.49,0.69,M89V,4,1.11,0.69
0.84,0.22,0.61,M3V,6.02,4.28,0.9
0.82,0.16,0.67,M0V,4.53,4.18,1.01
0.83,0.23,0.6,M3V,5.42,4.22,0.92
0.9,0.28,0.62,M2V,5.33,4.39,0.95
0.87,0.3,0.57,M5V,6.01,2.51,0.84
0.84,0.29,0.55,M4V,5.59,3.84,0.88
0.9,0.3,0.6,M6V,5.14,1.87,0.81
0.84,0.25,0.59,M4V,5.66,3.86,0.92
0.87,0.3,0.57,M4V,7.25,3.43,0.88
0.89,0.27,0.62,M5V,6.28,3.11,0.86
0.95,0.35,0.6,M5V,6.96,2.98,0.84
0.84,0.24,0.6,M3V,6.28,4.35,0.95
0.8,0.2,0.6,M3V,3.89,2.96,0.93
0.86,0.28,0.58,M6V,5.63,2.36,0.83
0.75,0.27,0.48,M5V,2.77,1.65,0.85
0.83,0.28,0.55,M4V,4.63,2.62,0.87
0.91,0.28,0.63,M5V,5.32,2.49,0.83
0.87,0.38,0.49,M7V,4.97,1.33,0.78
0.84,0.28,0.56,M5V,5,2.69,0.85
0.86,0.33,0.53,M5V,5.05,2.6,0.85
0.84,0.22,0.61,M4V,6.54,4.97,0.9
0.94,0.34,0.6,M5V,6.36,1.82,0.83
0.91,0.29,0.62,M3V,6.84,4.5,0.92
0.85,0.28,0.57,M5V,5.37,3.3,0.87
0.93,0.31,0.62,M7V,6.09,2.23,0.8
0.78,0.17,0.61,M0V,3.71,3.52,1.01
0.9,0.33,0.56,M5V,5.11,2.87,0.85
0.86,0.29,0.57,M3V,5.97,5.09,0.96
0.89,0.26,0.63,M4V,5.72,3.99,0.89
0.9,0.36,0.55,M7V,5.22,1.72,0.79
0.81,0.22,0.59,M5V,5.22,3.62,0.87
0.82,0.24,0.58,M3V,4.87,3.44,0.91
0.85,0.27,0.59,M4V,5.29,3.07,0.88
0.87,0.38,0.49,M6V,5.01,1.78,0.8
0.9,0.3,0.6,M6V,7.07,2.73,0.8
