Jmag,Hmag,Kmag,sptype,na,ca,hind,[Fe/H]
7.71,8.86,7.89,M3V      ,4.32,2.73,0.91,-0.12
7.92,9.24,8.83,M5V ,7.35,3.01,0.88,0.3
8.86,10.1,9.22,M4V ,2.92,2.37,0.89,-0.56
10,10.65,10.04,M5V    ,3.11,1.15,0.83,-0.49
7.23,9.43,8.37,M4V      ,4.29,2.24,0.86,-0.13
6.7,8.36,7.22,M3V      ,4.17,3.32,0.91,-0.16
6.98,8.2,7.94,M4V    ,3.15,2.39,0.88,-0.48
7.13,8.32,7.74,M5V    ,5.87,2.62,0.87,0.18
7.9,10.04,9.17,M4V ,6.7,3.05,0.87,0.27
8.86,10.48,9.76,M5V ,4.97,2.35,0.84,0.03
9.43,10.56,9.76,M5V ,5.11,2.87,0.85,0.06
9.41,10.89,10.25,M6V ,5.01,2.35,0.84,0.04
8.73,11.07,9.94,M4V ,6.72,4.6,0.89,0.27
7.48,9.26,8.08,M4V    ,4.32,3.08,0.88,-0.12
7.02,8.06,7.37,M4V      ,5.72,4.04,0.88,0.16
6.34,7.62,6.62,M5V    ,6.88,3.5,0.86,0.28
7.01,8.67,7.77,M5V      ,6.9,2.32,0.82,0.28
6.71,8.72,7.55,M5V      ,5.75,3.44,0.87,0.17
8.08,9.16,8.43,M5V ,5.36,2.97,0.87,0.1
6.56,8.86,7.91,M6V ,6.67,2.58,0.83,0.27
7.57,9.56,8.51,M5V ,5.51,2.71,0.85,0.13
8.71,10.51,9.67,M5V ,5.18,2.51,0.84,0.07
6.1,7.33,6.52,M3V    ,3.18,2.45,0.93,-0.47
5.94,7.39,6.52,M3V      ,3.44,2.77,0.93,-0.38
5.66,6.94,6.42,M4V      ,4.49,2.88,0.89,-0.08
8.87,10.59,9.47,M5V    ,6.78,2.78,0.86,0.28
5.72,7.83,7.07,M3V      ,4.99,3.56,0.92,0.04
6.52,8.4,7.9,M4V    ,5.61,2.69,0.87,0.15
8.25,8.94,8.34,M4V    ,3.6,2.45,0.86,-0.33
8.55,9.51,8.77,M8/9V     ,5.27,1.01,0.69,0.09
7.04,8.31,7.94,M4V    ,5.82,2.87,0.87,0.18
6.8,8.17,7.69,M4V      ,3.97,2.4,0.9,-0.21
9.79,11.17,10.02,M8/9V ,4,1.11,0.69,-0.21
8.5,9.62,8.73,M5V ,6.53,3.87,0.86,0.26
8.05,9.41,8.84,M5V ,4.83,3.34,0.83,0
5.27,7.88,6.72,M3V ,6.02,4.28,0.9,0.2
6.69,8.66,8.14,M0V ,4.53,4.18,1.01,-0.07
6.4,7.41,7.14,M4V      ,5.32,2.84,0.86,0.1
5.92,8.13,7.14,M4V      ,5.29,3.07,0.88,0.09
5.84,7.47,6.85,M6V    ,4.89,2.01,0.79,0.01
8.17,9.33,8.99,M3V ,5.42,4.22,0.92,0.11
5.81,8.32,7.21,M2V ,5.33,4.39,0.95,0.1
7.82,10.29,9.18,M5V ,6.01,2.51,0.84,0.2
8.95,9.51,9.08,M5V    ,5.75,2.92,0.84,0.17
6.25,7.83,7.18,M4V ,5.59,3.84,0.88,0.14
8.36,10.26,9.59,M6V ,5.14,1.87,0.81,0.06
7.44,9.15,8.48,M4V ,5.66,3.86,0.92,0.15
6.52,8.49,7.31,M5V    ,5.39,2.74,0.84,0.11
8.32,8.77,8.36,M5V      ,4.34,2.11,0.86,-0.11
8.28,9.5,9.1,M4V ,7.25,3.43,0.88,0.3
8.2,9.14,8.47,M4V    ,6.34,3.9,0.9,0.24
8.95,9.9,9.59,M5V ,6.28,3.11,0.86,0.23
7.15,8.31,7.75,M5V    ,6.57,2.86,0.86,0.26
8.81,10.12,9.14,M5V ,6.96,2.98,0.84,0.29
